timestep,reward
71519,0.074
142704,0.158
211677,0.25
279729,0.245
347631,0.373
413477,0.335
478198,0.399
541755,0.337
604907,0.401
667574,0.373
729039,0.416
791479,0.487
853426,0.473
915095,0.443
976518,0.494
1037548,0.508
1098416,0.548
1158197,0.536
1217908,0.534
1277290,0.583
1337776,0.593
1398086,0.547
1457223,0.608
1516686,0.568
1575968,0.536
1635264,0.59
1693904,0.599
1753094,0.594
1811186,0.545
1869986,0.581
1928169,0.579
1986888,0.552
2045166,0.602
2103718,0.574
2162073,0.582
2220448,0.511
2278123,0.544
2335890,0.549
2393214,0.561
2450553,0.596
2508082,0.577
2565282,0.593
2622931,0.592
2680803,0.643
2738809,0.613
2795649,0.597
2852450,0.647
2909484,0.611
2966812,0.634
3023879,0.569
3080711,0.583
3137761,0.628
3194007,0.62
3250795,0.652
3307280,0.624
3365270,0.652
3422961,0.63
3479455,0.654
3536200,0.628
3592724,0.619
3649429,0.656
3706104,0.561
3761966,0.629
3819015,0.652
3875638,0.622
3931060,0.678
3986431,0.597
4041562,0.686
4097028,0.65
4153099,0.623
4209500,0.651
4264736,0.627
4320151,0.665
4375907,0.7
4431742,0.598
4487511,0.625
4543057,0.622
4598652,0.675
4653798,0.676
4709191,0.66
4765149,0.63
4821442,0.653
4877357,0.573
