timestep,reward
71449,0.088
142677,0.197
212648,0.289
279934,0.311
345241,0.256
409588,0.343
474243,0.332
538100,0.377
600582,0.311
662468,0.387
724325,0.378
784755,0.396
844726,0.386
904674,0.411
964548,0.389
1024268,0.478
1083792,0.452
1142375,0.357
1199865,0.469
1257225,0.489
1314406,0.466
1370930,0.442
1426956,0.483
1483199,0.506
1539346,0.478
1596127,0.502
1651617,0.51
1706654,0.564
1762069,0.532
1816843,0.531
1871505,0.508
1926281,0.504
1980057,0.425
2033126,0.492
2087028,0.495
2140813,0.487
2194567,0.573
2248551,0.548
2301667,0.578
2354914,0.61
2409141,0.59
2462890,0.553
2516599,0.5
2571056,0.587
2625102,0.59
2679059,0.562
2732974,0.61
2786910,0.601
2841191,0.519
2894691,0.54
2948421,0.553
3001979,0.522
3055501,0.624
3108875,0.598
3162053,0.603
3215108,0.56
3267577,0.544
3320606,0.558
3373645,0.538
