timestep,reward
75891,0.08
152139,0.13
225727,0.19
297348,0.36
366577,0.4
435194,0.44
502061,0.36
568083,0.4
632915,0.28
697093,0.34
760962,0.49
824293,0.4
887235,0.45
950547,0.44
1013200,0.52
1075271,0.44
1136268,0.43
1196004,0.53
1256574,0.46
1316525,0.6
1376022,0.48
1435867,0.42
1494574,0.54
1553978,0.48
1613055,0.56
1671184,0.5
1729354,0.47
1786876,0.52
1844160,0.51
1901795,0.5
1959273,0.57
2016345,0.54
2072878,0.57
2129736,0.55
2187081,0.5
2244121,0.62
2300916,0.44
2357916,0.64
2414966,0.58
2471855,0.68
2528659,0.48
2585533,0.5
2642800,0.61
2700362,0.63
2758239,0.57
2815583,0.61
2873054,0.54
2930194,0.52
2987448,0.54
