timestep,reward
143091,0.19
284580,0.278
423121,0.334
558586,0.44
689564,0.472
819257,0.594
948238,0.513
1075151,0.491
1200121,0.569
1325914,0.525
1451302,0.535
1575850,0.49
1700818,0.607
1825385,0.505
1948719,0.591
2071460,0.564
2193021,0.624
2314035,0.55
2434381,0.569
2556025,0.534
2676724,0.611
2797318,0.552
2917619,0.595
3037322,0.575
3157705,0.601
3277264,0.546
3394987,0.61
3515161,0.638
3633572,0.568
3751802,0.638
3869700,0.53
3988378,0.668
4106884,0.647
4224687,0.606
4341801,0.63
4459627,0.549
4577656,0.631
4694906,0.629
4812254,0.717
4928710,0.615
5045513,0.629
5161831,0.573
5278820,0.627
5395626,0.586
5511607,0.634
5626861,0.664
5742797,0.63
5858492,0.58
5974910,0.63
6090693,0.655
6206580,0.649
6324161,0.596
6440559,0.668
6558217,0.639
6673968,0.672
6789800,0.658
6906175,0.661
7021079,0.624
7136672,0.601
7251107,0.581
7367194,0.627
7482186,0.638
7598258,0.605
7713671,0.668
7828623,0.616
7942888,0.708
8057366,0.625
8171943,0.653
8286359,0.63
8400821,0.657
8514450,0.677
8628297,0.63
8741570,0.68
8855448,0.638
8969430,0.634
9082276,0.605
9196086,0.632
9310050,0.65
9425400,0.664
9539658,0.632
9655266,0.667
9769628,0.624
9884113,0.625
9998251,0.625
10111860,0.575
10225490,0.648
10339800,0.629
10453855,0.627
10567237,0.642
10680948,0.66
10794791,0.646
10908226,0.653
11019666,0.675
11131579,0.635
11243232,0.66
11356057,0.634
11467437,0.664
11579211,0.617
11690615,0.643
11803785,0.646
11916676,0.67
12028870,0.633
12140796,0.638
12253683,0.659
12366761,0.687
12478854,0.634
12591793,0.601
12704401,0.613
12816124,0.652
12928758,0.612
13039797,0.646
13152038,0.653
13264133,0.647
13376140,0.661
13488693,0.688
13601528,0.683
13714257,0.659
13826907,0.66
13940666,0.617
14053755,0.657
14166128,0.658
14276954,0.665
14388450,0.621
14500269,0.665
14612493,0.606
14725327,0.636
14837262,0.686
14948565,0.683
15062251,0.662
15173657,0.641
15286988,0.673
15399372,0.635
15510102,0.638
15621171,0.654
15733584,0.642
15845035,0.651
15957047,0.624
16066920,0.655
16178118,0.638
16288783,0.574
16398982,0.63
16511209,0.657
16623019,0.566
16734982,0.643
16846860,0.663
16957956,0.652
17068518,0.649
17180323,0.621
17292784,0.675
17403973,0.618
17514766,0.607
17624979,0.649
17735587,0.67
17846393,0.622
17958946,0.614
18071102,0.667
18182806,0.684
18293793,0.603
18404780,0.662
18515906,0.618
18627265,0.643
18739209,0.656
18851448,0.667
18962117,0.588
19074079,0.675
19184993,0.622
19295468,0.659
19405478,0.643
19515518,0.641
19625557,0.682
19735964,0.664
19845921,0.655
19957161,0.594
20067367,0.61
20178529,0.683
20289620,0.644
20399931,0.593
20510656,0.624
20621518,0.666
20731333,0.622
20843264,0.644
20953941,0.659
21063832,0.677
21174675,0.664
21285590,0.626
21396824,0.697
21507436,0.638
21619423,0.626
21730303,0.666
21840206,0.666
21951297,0.681
22062516,0.635
22172928,0.641
22284154,0.639
22396024,0.654
22506554,0.657
22618554,0.613
22727929,0.691
22839090,0.681
22950146,0.644
23060467,0.647
23169351,0.615
23279319,0.582
23388855,0.702
23498860,0.656
23608778,0.66
23719899,0.711
23830652,0.666
23941482,0.675
24051929,0.657
24161628,0.623
24273082,0.654
24384239,0.605
24495803,0.71
24607170,0.625
24717737,0.625
24828587,0.619
24939309,0.648
25049838,0.677
25160825,0.614
25272137,0.639
25382949,0.646
25494331,0.653
25605205,0.637
25716017,0.604
25825350,0.665
25935930,0.619
26045194,0.61
26155697,0.59
26265976,0.643
26376428,0.652
26487620,0.654
26598641,0.666
26708902,0.64
26818908,0.627
26928632,0.645
27039850,0.652
27149665,0.657
27259681,0.676
27370784,0.657
27480222,0.693
27589634,0.662
27699903,0.609
27809753,0.667
27919963,0.692
28030601,0.628
28141407,0.644
28252291,0.627
28362493,0.622
