timestep,reward
61045,0.38
121920,0.42
180401,0.4
238161,0.65
292810,0.56
346632,0.57
399908,0.54
453724,0.51
506575,0.48
559285,0.48
611653,0.53
663812,0.64
715687,0.49
767904,0.64
819705,0.72
870882,0.55
922231,0.65
973731,0.75
1023929,0.65
1073424,0.7
1123664,0.64
1173118,0.65
1221408,0.72
1270318,0.8
1318809,0.73
1367453,0.78
1416197,0.75
1464228,0.78
1511245,0.68
1558840,0.71
1605808,0.69
1652760,0.78
1699614,0.72
1746170,0.77
1793200,0.8
1839656,0.69
1886580,0.65
1933347,0.68
1980307,0.56
2028213,0.65
2076053,0.74
2123067,0.79
2170185,0.73
2218609,0.73
2266437,0.8
2314236,0.81
2361994,0.74
2410642,0.71
2458802,0.74
