timestep,reward
61649,0.576
122388,0.614
181225,0.63
239449,0.67
295923,0.634
352032,0.669
408318,0.663
463913,0.686
519083,0.67
574779,0.622
630162,0.684
686225,0.698
741301,0.663
795904,0.725
849129,0.658
903002,0.732
957396,0.73
1010331,0.745
1063038,0.742
1115141,0.742
1168905,0.723
1224648,0.751
1278945,0.707
1330942,0.753
1383725,0.739
1437078,0.726
1490409,0.728
1543258,0.749
1595796,0.723
1647574,0.721
1699856,0.745
1753451,0.74
1805171,0.676
1857122,0.771
1909913,0.748
1962723,0.774
2015515,0.749
2068216,0.696
2120622,0.767
2174238,0.779
2227131,0.754
2280312,0.677
2332966,0.713
2384018,0.768
2435709,0.736
2487489,0.778
2539032,0.786
2590483,0.758
2643276,0.784
2695693,0.757
2747420,0.762
2799683,0.782
2852571,0.76
2904979,0.777
2957755,0.736
3010451,0.764
3063545,0.768
3115860,0.782
3166868,0.802
3217592,0.758
3268158,0.807
3319234,0.774
3370714,0.75
3423077,0.75
3475264,0.774
3526013,0.765
3576734,0.799
3628553,0.796
3681569,0.79
3733768,0.763
3785402,0.779
3836311,0.72
3887893,0.813
3939577,0.806
3991151,0.782
4042253,0.804
4093107,0.799
4143992,0.767
4194102,0.779
4244450,0.804
4296698,0.773
4349060,0.809
4400934,0.78
4451916,0.817
4503468,0.828
4555482,0.81
4606562,0.792
4657269,0.796
4709127,0.805
4760736,0.755
4813983,0.794
4865678,0.814
4918396,0.772
4969659,0.789
5020045,0.817
5070830,0.81
5120991,0.822
5172397,0.817
5224139,0.799
