timestep,reward
71166,0.13
141864,0.14
211536,0.19
279593,0.34
344748,0.24
408422,0.23
471525,0.47
532895,0.29
594487,0.27
656335,0.41
716728,0.43
777284,0.53
836870,0.42
895426,0.46
953676,0.5
1011530,0.44
1068888,0.52
1126613,0.57
1183187,0.49
1239997,0.52
1295823,0.51
1351566,0.52
1406562,0.41
1461300,0.53
1515738,0.47
1569653,0.56
1624293,0.56
1678430,0.46
1731698,0.48
1785813,0.53
1839460,0.54
1892672,0.6
1946238,0.51
1999734,0.64
2052640,0.45
2105891,0.48
2159003,0.55
2212174,0.55
2265418,0.57
2318587,0.62
2371887,0.49
2424529,0.59
2477706,0.55
2531473,0.59
2584689,0.56
2637722,0.53
2690559,0.51
2743723,0.6
2796535,0.55
2849366,0.63
2902510,0.58
2956084,0.54
3009074,0.55
3062581,0.58
3115554,0.52
3169693,0.6
3223293,0.61
3277024,0.55
3330514,0.44
3384256,0.54
3438062,0.5
3491645,0.63
3545351,0.69
3599128,0.53
3652196,0.64
3705428,0.57
3758787,0.63
3812276,0.53
3865931,0.57
3918972,0.55
3973387,0.71
4026912,0.57
4081461,0.66
4135497,0.56
4189110,0.55
4242748,0.59
4296246,0.53
4350257,0.52
4404299,0.67
4458043,0.71
4512007,0.65
4566280,0.5
4620823,0.62
4674618,0.53
4729255,0.55
4783251,0.56
4837049,0.67
4890727,0.58
4944124,0.51
4997949,0.6
5051862,0.55
5106351,0.62
5160474,0.65
5214865,0.6
5268776,0.59
5322828,0.68
5376875,0.57
5430954,0.67
5485346,0.61
5539304,0.61
5593573,0.54
5648019,0.54
5702454,0.59
5756738,0.67
5811383,0.55
5865499,0.65
5919764,0.66
5974323,0.65
6028522,0.57
6082919,0.58
6137726,0.59
6192199,0.56
6246954,0.67
6301504,0.58
6356728,0.62
6411302,0.52
6465653,0.64
6520867,0.57
6575336,0.64
6630779,0.6
6686348,0.59
6742294,0.57
6797794,0.61
6852366,0.5
6907063,0.52
6962487,0.44
7017668,0.61
7072739,0.43
7127769,0.56
7183021,0.62
7238053,0.63
7292786,0.56
7347305,0.56
7402485,0.57
7457574,0.51
7512923,0.5
7568734,0.54
7623591,0.62
7678952,0.6
7734442,0.6
7788944,0.6
7844141,0.61
7899428,0.59
7954255,0.58
8008525,0.46
8063353,0.56
8118843,0.51
8174180,0.55
8229592,0.6
8284121,0.49
8339574,0.55
8394691,0.63
8450482,0.49
8505925,0.54
8561044,0.53
8616488,0.62
8672569,0.58
8728480,0.67
8783515,0.57
8838715,0.56
8894360,0.59
8950017,0.55
9005700,0.59
9061680,0.54
9117601,0.48
9173649,0.55
9229600,0.56
9285881,0.58
9342080,0.48
9398359,0.5
9454657,0.49
9510771,0.53
9567115,0.49
9623845,0.61
9680153,0.56
9735630,0.54
9791420,0.6
9847492,0.6
9903062,0.6
9958623,0.53
10014067,0.55
10069603,0.48
10125033,0.47
10180835,0.45
10236339,0.54
10291506,0.5
10347255,0.57
10402675,0.63
10458639,0.59
10514626,0.47
10570502,0.53
10626257,0.47
10682196,0.48
10738163,0.45
10793790,0.54
10849623,0.43
10905947,0.49
10962528,0.43
11018787,0.56
