timestep,reward
72013,0.11
146649,0.13
222185,0.09
293624,0.1
362260,0.24
429671,0.34
496593,0.34
563113,0.41
628259,0.26
693043,0.32
757458,0.23
821381,0.43
884914,0.37
947346,0.45
1009699,0.38
1072740,0.45
1135344,0.53
1197240,0.5
1258925,0.32
1321475,0.54
1383714,0.45
1445083,0.43
1506899,0.36
1568828,0.48
1630694,0.43
1692361,0.44
1754584,0.4
1815607,0.46
1876583,0.39
1938612,0.35
1999924,0.48
2061151,0.46
2122391,0.5
2184133,0.48
2244756,0.41
2305836,0.56
2367343,0.35
2428817,0.58
2489969,0.55
2551012,0.52
2613075,0.47
2675286,0.36
2737185,0.42
2798281,0.55
2859555,0.5
2920674,0.49
2981788,0.52
3043043,0.45
3104226,0.51
