timestep,reward
71012,0.07
143425,0.18
213896,0.21
283391,0.23
349526,0.34
415397,0.39
480029,0.32
543817,0.27
606892,0.35
669780,0.29
731162,0.35
792144,0.37
853745,0.34
914525,0.5
975893,0.37
1036263,0.38
1095825,0.5
1155290,0.56
1214052,0.38
1273090,0.5
1331873,0.43
1389771,0.44
1447278,0.48
1504737,0.59
1563045,0.53
1620587,0.56
1677262,0.56
1733438,0.45
1790949,0.49
1848047,0.48
1904444,0.55
1960235,0.57
2016288,0.52
2072457,0.37
2127591,0.48
2183197,0.55
2239100,0.55
2294272,0.64
2349569,0.5
2404892,0.58
2460094,0.54
2514530,0.58
2569432,0.58
2623319,0.61
2677596,0.65
2732072,0.62
2786419,0.49
2841262,0.56
2895317,0.64
