timestep,reward
70327,0.08
140375,0.24
209269,0.17
276365,0.3
339813,0.29
403854,0.33
468344,0.25
531506,0.29
593497,0.36
655299,0.33
716846,0.44
777937,0.25
838514,0.38
898536,0.46
959015,0.42
1018619,0.49
1078509,0.41
1137500,0.45
1196747,0.44
1255271,0.45
1314683,0.49
1373533,0.45
1431587,0.47
1489557,0.48
1547058,0.38
1604344,0.4
1662401,0.46
1719056,0.45
1775993,0.51
1832019,0.48
1888219,0.58
1945231,0.59
2001701,0.49
2058510,0.6
2114086,0.51
2169652,0.5
2226013,0.49
2282676,0.58
2338696,0.59
2394712,0.62
2450649,0.61
2506128,0.62
2561237,0.53
2616632,0.57
2672060,0.57
2726342,0.56
2781140,0.64
2836371,0.64
2891566,0.48
