timestep,reward
71904,0.1
142631,0.13
212762,0.25
282201,0.25
349860,0.29
416341,0.38
482465,0.48
547643,0.4
611405,0.53
675561,0.32
739228,0.45
802547,0.43
865970,0.42
929274,0.6
992321,0.43
1054038,0.65
1116393,0.59
1178340,0.57
1240068,0.56
1302479,0.52
1364309,0.49
1425000,0.61
1485625,0.7
1546673,0.54
1607948,0.58
1668694,0.56
1728594,0.65
1789382,0.61
1849131,0.45
1909602,0.53
1969336,0.58
2029519,0.63
2089884,0.56
2149884,0.56
2209699,0.65
2269270,0.6
2329443,0.6
2388957,0.66
2448215,0.6
2507464,0.61
2566942,0.69
2626344,0.49
2685811,0.64
2744994,0.65
2804387,0.7
2863646,0.58
2922382,0.63
2982021,0.66
3041287,0.58
