timestep,reward
76512,0.18
155154,0.16
230314,0.19
303088,0.2
373783,0.26
442792,0.33
511004,0.48
578640,0.4
645497,0.34
711043,0.41
776184,0.4
841088,0.34
905411,0.45
969622,0.45
1032682,0.57
1095137,0.4
1158015,0.54
1219498,0.47
1280738,0.44
1341829,0.6
1403072,0.43
1464369,0.48
1524200,0.48
1584236,0.51
1644019,0.63
1703626,0.5
1763195,0.57
1821882,0.52
1880933,0.61
1940065,0.47
1998860,0.57
2056920,0.51
2114897,0.5
2172907,0.44
2230031,0.48
2288106,0.52
2345839,0.6
2402886,0.56
2460836,0.53
2518052,0.61
2575446,0.6
2632807,0.48
2690242,0.47
2747054,0.47
2804500,0.59
2861843,0.46
2918641,0.65
2976262,0.62
3034026,0.64
