timestep,reward
71094,0.12
141949,0.15
211967,0.36
280136,0.33
346588,0.37
411707,0.5
476692,0.28
540434,0.42
602650,0.36
665071,0.45
726276,0.52
788021,0.39
849221,0.49
909902,0.51
971080,0.59
1031274,0.49
1091156,0.61
1150485,0.64
1209294,0.53
1268904,0.5
1328700,0.57
1387674,0.54
1446700,0.62
1505899,0.67
1564356,0.45
1623076,0.57
1681882,0.6
1740438,0.67
1798530,0.54
1856242,0.61
1914155,0.55
1972790,0.61
2030664,0.52
2088602,0.58
2146354,0.53
2203752,0.67
2261942,0.49
2319354,0.67
2376451,0.59
2433775,0.63
2491262,0.62
2548594,0.56
2606127,0.59
2663224,0.69
2719517,0.61
2776449,0.65
2832479,0.59
2888427,0.59
2944977,0.6
3001158,0.69
3058012,0.64
3115051,0.63
3171155,0.55
3227799,0.63
3283676,0.59
3340711,0.49
3396895,0.66
3452732,0.58
3508927,0.68
3564639,0.54
3621176,0.55
3677863,0.61
3734525,0.75
3791344,0.52
3848253,0.72
3903955,0.63
3959737,0.65
4015617,0.67
4071090,0.61
4126860,0.68
4182349,0.65
4237933,0.57
4293142,0.6
4348519,0.58
4405105,0.65
4460896,0.48
4516774,0.64
4572386,0.48
4627966,0.62
4683420,0.62
4739179,0.66
4794630,0.65
4850417,0.68
4907017,0.65
4963262,0.66
5019424,0.67
5075386,0.57
5130974,0.6
5186833,0.62
5242607,0.69
5298398,0.6
5353553,0.7
5408934,0.69
5464221,0.59
5520069,0.55
5575614,0.72
5631338,0.56
5686792,0.62
5742409,0.61
