timestep,reward
71037,0.09
142002,0.151
211590,0.269
279024,0.266
345880,0.278
411445,0.357
476104,0.401
539891,0.328
603087,0.449
664882,0.482
727101,0.437
789334,0.528
850891,0.499
911485,0.552
972209,0.548
1032345,0.562
1093085,0.553
1152478,0.59
1211732,0.587
1270750,0.527
1330356,0.58
1389997,0.549
1448824,0.551
1507940,0.556
1567216,0.567
1625395,0.55
1684247,0.551
1742555,0.58
1800337,0.62
1858430,0.536
1916060,0.605
1974213,0.614
2031942,0.606
2089955,0.571
2148109,0.63
2205942,0.604
2263996,0.675
2321313,0.593
2379356,0.604
2436682,0.621
2494264,0.618
2551225,0.607
2607979,0.587
2664461,0.619
2720976,0.621
2778336,0.62
2835061,0.574
2892541,0.591
2950021,0.629
3006841,0.654
3063176,0.613
3120216,0.629
3176303,0.621
3231981,0.654
3287728,0.588
3343389,0.603
3399649,0.6
3456020,0.673
3512043,0.607
3567838,0.595
3623674,0.636
3678776,0.636
3735169,0.617
3791212,0.632
3847211,0.664
3902164,0.613
3958329,0.67
4014259,0.641
4070095,0.606
4126243,0.614
4181456,0.629
4236813,0.588
4292330,0.687
4347961,0.624
4403432,0.608
4458664,0.636
4514805,0.623
4571579,0.676
4626546,0.65
4682428,0.668
4738434,0.604
4793444,0.664
4848378,0.677
4903734,0.633
4959049,0.659
5013939,0.649
5068872,0.675
5123927,0.634
5179890,0.634
5234643,0.659
5290329,0.643
5345177,0.702
5401357,0.635
5455960,0.631
5510623,0.695
5565742,0.667
5619857,0.697
5674316,0.661
5729120,0.65
