timestep,reward
71516,0.05
142031,0.12
211292,0.23
279962,0.27
346648,0.28
412205,0.33
476485,0.33
539820,0.39
601473,0.28
662952,0.45
724769,0.47
785378,0.44
846847,0.42
907324,0.35
966753,0.48
1025823,0.45
1084975,0.35
1144357,0.48
1203106,0.4
1261019,0.45
1319126,0.44
1376922,0.55
1434598,0.47
1492142,0.51
1549709,0.51
1607559,0.47
1664889,0.42
1722570,0.56
1779703,0.56
1835628,0.46
1891843,0.54
1949413,0.39
2006029,0.46
2063769,0.54
2120866,0.62
2176676,0.62
2233501,0.48
2290694,0.57
2346592,0.46
2403041,0.56
2459378,0.66
2515031,0.63
2571194,0.51
2627545,0.63
2683115,0.58
2739193,0.44
2794105,0.6
2849982,0.5
2906141,0.58
2961953,0.56
3017168,0.66
3072371,0.58
3127604,0.59
3183312,0.57
3238822,0.6
3294150,0.47
3349256,0.5
3404539,0.64
3459461,0.53
3514719,0.5
3569816,0.69
3625579,0.57
3680957,0.52
3735714,0.55
3790543,0.64
3845006,0.55
3899042,0.57
3954965,0.62
4009170,0.56
4063584,0.58
4118685,0.58
4172918,0.54
4227619,0.56
4282652,0.56
4336524,0.59
4391281,0.64
4445797,0.66
4500016,0.54
4554492,0.56
4608335,0.62
4663212,0.62
4717671,0.61
4771303,0.7
4825815,0.6
4879912,0.45
4934791,0.55
4989541,0.54
5044197,0.54
5098397,0.57
5152916,0.59
5207316,0.54
5261021,0.55
5315440,0.57
5369335,0.56
5422725,0.58
5476917,0.58
5530972,0.68
5585446,0.51
5639770,0.66
