timestep,reward
71757,0.1
143893,0.17
214643,0.09
284888,0.31
354726,0.37
424728,0.3
492193,0.29
558596,0.38
623776,0.47
689326,0.41
754866,0.6
820309,0.42
884971,0.45
948904,0.53
1013022,0.49
1076512,0.51
1139404,0.48
1202676,0.47
1265638,0.62
1326998,0.57
1388824,0.52
1451308,0.44
1512200,0.54
1574554,0.61
1636133,0.61
1698183,0.5
1760172,0.57
1820869,0.62
1881474,0.51
1941918,0.57
2003635,0.61
2064928,0.57
2125370,0.55
2186154,0.63
2246361,0.63
2307566,0.46
2368822,0.57
2429467,0.59
2489116,0.55
2549418,0.71
2609111,0.59
2669642,0.6
2729078,0.66
2788477,0.58
2848158,0.67
2907579,0.55
2967047,0.56
3026179,0.69
3085655,0.59
3145911,0.63
3206435,0.66
3266541,0.51
3326380,0.74
3386339,0.55
3446011,0.62
3506470,0.7
3565283,0.59
3624914,0.71
3684820,0.58
3744193,0.64
3803596,0.58
3863749,0.51
3922822,0.62
3982536,0.6
4041794,0.68
4100130,0.68
4159532,0.64
4218223,0.56
4277051,0.59
4334983,0.63
4393355,0.55
4452076,0.66
4510589,0.59
4569668,0.69
4627393,0.66
4685926,0.52
4744277,0.62
4802230,0.6
4860492,0.61
4918033,0.68
4976217,0.61
5034461,0.67
5092582,0.61
5151154,0.64
5210115,0.65
5269163,0.55
5327709,0.68
5386267,0.65
5444624,0.58
5502013,0.59
5561278,0.66
5620083,0.63
5677764,0.65
5735376,0.57
5792974,0.64
5850699,0.61
5908230,0.51
5966179,0.56
6023559,0.72
6081579,0.59
6138826,0.59
6196656,0.63
6254716,0.59
6312333,0.64
6370675,0.59
6428324,0.67
6485580,0.55
6543913,0.67
6601924,0.7
